timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1525441123158,292,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-swing,200,OK,Thread Group 1-4,text,true,,25122,0,1,1,227,0,0
1525441123451,557,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-blues,200,OK,Thread Group 1-4,text,true,,22577,0,1,1,555,0,0
1525441124008,294,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-fanfare,200,OK,Thread Group 1-4,text,true,,25064,0,1,1,228,0,0
1525441124303,290,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique-chretienne,200,OK,Thread Group 1-4,text,true,,25809,0,1,1,225,0,0
1525441124594,287,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-country,200,OK,Thread Group 1-4,text,true,,22585,0,1,1,225,0,0
1525441124882,368,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/dj,200,OK,Thread Group 1-4,text,true,,38805,0,1,1,235,0,0
1525441125251,292,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-hip-hop,200,OK,Thread Group 1-4,text,true,,22578,0,1,1,227,0,0
1525441128126,364,https://qa.starofservice.com/,200,OK,Thread Group 1-5,text,true,,25808,0,1,1,300,0,0
1525441128491,286,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-chant-acapella,200,OK,Thread Group 1-5,text,true,,23543,0,1,1,222,0,0
1525441128778,741,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique,200,OK,Thread Group 1-5,text,true,,36482,0,1,1,230,0,0
1525441129520,291,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-swing,200,OK,Thread Group 1-5,text,true,,25122,0,1,1,228,0,0
1525441129812,352,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-blues,200,OK,Thread Group 1-5,text,true,,22577,0,1,1,224,0,0
1525441130165,300,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-fanfare,200,OK,Thread Group 1-5,text,true,,25064,0,1,1,237,0,0
1525441130465,295,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique-chretienne,200,OK,Thread Group 1-5,text,true,,25809,0,1,1,230,0,0
1525441130761,291,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-country,200,OK,Thread Group 1-5,text,true,,22585,0,1,1,225,0,0
1525441131053,363,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/dj,200,OK,Thread Group 1-5,text,true,,38805,0,1,1,240,0,0
1525441131417,302,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-hip-hop,200,OK,Thread Group 1-5,text,true,,22578,0,1,1,238,0,0
