timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1525247655549,1612,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/magicien,200,OK,Thread Group 1-1,text,true,,27565,0,3,3,1522,0,0
1525247657031,382,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-quatuor-a-cordes,200,OK,Thread Group 1-3,text,true,,22619,0,3,3,297,0,0
1525247657414,408,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique-de-mariage,200,OK,Thread Group 1-3,text,true,,35800,0,3,3,318,0,0
1525247657823,435,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/bartending,200,OK,Thread Group 1-3,text,true,,32692,0,3,3,348,0,0
1525247658258,368,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/service-de-buffet-de-bonbons,200,OK,Thread Group 1-3,text,true,,25473,0,3,3,283,0,0
1525247658627,413,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/gateau-de-mariage-personnalise,200,OK,Thread Group 1-3,text,true,,28358,0,3,3,324,0,0
1525247659041,415,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/service-de-patisserie,200,OK,Thread Group 1-3,text,true,,30695,0,3,3,330,0,0
1525247659457,433,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/service-de-sommellerie,200,OK,Thread Group 1-3,text,true,,26341,0,3,3,344,0,0
1525247659891,413,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/service-d-un-chef-personnel,200,OK,Thread Group 1-3,text,true,,28276,0,4,4,324,0,0
1525247660103,486,https://qa.starofservice.com/,200,OK,Thread Group 1-4,text,true,,25808,0,4,4,401,0,0
1525247660305,413,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-d-animaux,200,OK,Thread Group 1-3,text,true,,22858,0,4,4,328,0,0
1525247660590,403,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-chant-acapella,200,OK,Thread Group 1-4,text,true,,23543,0,4,4,314,0,0
1525247660719,426,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/danse-du-ventre,200,OK,Thread Group 1-3,text,true,,22815,0,4,4,342,0,0
1525247660994,382,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-musique,200,OK,Thread Group 1-4,text,true,,36482,0,4,4,294,0,0
1525247657161,4408,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/animation-et-reception,200,OK,Thread Group 1-1,text,true,,30800,0,4,4,4322,0,0
1525247661146,440,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/body-painting,200,OK,Thread Group 1-3,text,true,,23462,0,4,4,351,0,0
1525247657103,4512,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/animation-et-reception,200,OK,Thread Group 1-2,text,true,,30794,0,4,4,4422,0,0
1525247661376,399,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-swing,200,OK,Thread Group 1-4,text,true,,25122,0,4,4,310,0,0
1525247661586,383,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/soufflage-de-bulles,200,OK,Thread Group 1-3,text,true,,22478,0,4,4,295,0,0
1525247661776,372,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/spectacle-de-blues,200,OK,Thread Group 1-4,text,true,,22577,0,4,4,286,0,0
1525247661970,394,https://qa.starofservice.com/annubis/ile-de-france/paris/paris-01/caricature,200,OK,Thread Group 1-3,text,true,,23093,0,4,4,304,0,0
